Bird,Habitat
Red-bellied Woodpecker (Melanerpes carolinus),Forests
Least Bittern (Ixobrychus exilis),Marshes
Tufted Titmouse (Baeolophus bicolor),Forests
Vesper Sparrow (Pooecetes gramineus),Grasslands
Orchard Oriole (Icterus spurius),Open Woodlands
Pine Siskin (Carduelis pinus),Open Woodlands
Green-winged Teal (Anas crecca),Marshes
Hermit Thrush (Catharus guttatus),Open Woodlands
Grasshopper Sparrow (Ammodramus savannarum),Grasslands
Pine Warbler (Dendroica pinus),Forests
Common Tern (Sterna hirundo),Shorelines
Prairie Warbler (Dendroica discolor),Scrub
Sedge Wren (Cistothorus platensis),Grasslands
Hooded Merganser (Lophodytes cucullatus),Lakes and Ponds
Barred Owl (Strix varia),Forests
Blue-headed Vireo (Vireo solitarius),Forests
Golden-winged Warbler (Vermivora chrysoptera),Open Woodlands
American Coot (Fulica americana),Lakes and Ponds
Broad-winged Hawk (Buteo platypterus),Forests
Mourning Warbler (Oporornis philadelphia),Forests
Bald Eagle (Haliaeetus leucocephalus),Forests
Osprey (Pandion haliaetus),Oceans
Trumpeter Swan (Cygnus buccinator),Lakes and Ponds
Northern Goshawk (Accipiter gentilis),Forests
Henslow's Sparrow (Ammodramus henslowii),Grasslands
Black-throated Blue Warbler (Dendroica caerulescens),Forests
Evening Grosbeak (Coccothraustes vespertinus),Forests
Red-shouldered Hawk (Buteo lineatus),Forests
Blackburnian Warbler (Dendroica fusca),Forests
Cerulean Warbler (Dendroica cerulea),Forests
Golden-crowned Kinglet (Regulus satrapa),Forests
Louisiana Waterthrush (Seiurus motacilla),Rivers and Streams
Yellow-bellied Flycatcher (Empidonax flaviventris),Forests
Canada Warbler (Wilsonia canadensis),Forests
Fish Crow (Corvus ossifragus),Shorelines
Hooded Warbler (Wilsonia citrina),Forests
Northern Parula (Parula americana),Forests
Ruby-crowned Kinglet (Regulus calendula),Forests
Common Nighthawk (Chordeiles minor),Grasslands
Long-eared Owl (Asio otus),Forests
Swainson's Thrush (Catharus ustulatus),Forests
Olive-sided Flycatcher (Contopus cooperi),Open Woodlands
Ruddy Duck (Oxyura jamaicensis),Marshes
Yellow-breasted Chat (Icteria virens),Scrub
Northern Saw-whet Owl (Aegolius acadicus),Forests
Lincoln's Sparrow (Melospiza lincolnii),Scrub
Philadelphia Vireo (Vireo philadelphicus),Forests
Acadian Flycatcher (Empidonax virescens),Forests
Merlin (Falco columbarius),Forests
Black-backed Woodpecker (Picoides arcticus),Forests
Boreal Chickadee (Poecile hudsonica),Forests
American Three-toed Woodpecker (Picoides dorsalis),Forests
Golden Eagle (Aquila chrysaetos),Grasslands
Northern Pintail (Anas acuta),Marshes
White-winged Crossbill (Loxia leucoptera),Forests
Peregrine Falcon (Falco peregrinus),Shorelines
Rusty Blackbird (Euphagus carolinus),Forests
Loggerhead Shrike (Lanius ludovicianus),Open Woodlands
White-eyed Vireo (Vireo griseus),Scrub
Red Crossbill (Loxia curvirostra),Forests
Ring-necked Duck (Aythya collaris),Lakes and Ponds
Northern Bobwhite (Colinus virginianus),Grasslands
Blackpoll Warbler (Dendroica striata),Forests
Redhead (Aythya americana),Lakes and Ponds
Tennessee Warbler (Vermivora peregrina),Forests
Bay-breasted Warbler (Dendroica castanea),Forests
Common Goldeneye (Bucephala clangula),Lakes and Ponds
Spruce Grouse (Falcipennis canadensis),Forests
Palm Warbler (Dendroica palmarum),Open Woodlands
Cape May Warbler (Dendroica tigrina),Forests
Bicknell's Thrush (Catharus bicknelli),Forests
Great Egret (Ardea alba),Marshes
Wilson's Warbler (Wilsonia pusilla),Scrub
Sandhill Crane (Grus canadensis),Marshes
Barn Owl (Tyto alba),Grasslands
Cattle Egret (Bubulcus ibis),Marshes
Glossy Ibis (Plegadis falcinellus),Marshes
Wilson's Phalarope (Phalaropus tricolor),Lakes and Ponds
Black Vulture (Coragyps atratus),Grasslands
Worm-eating Warbler (Helmitheros vermivorum),Forests
Kentucky Warbler (Oporornis formosus),Forests
Yellow-throated Warbler (Dendroica dominica),Forests
Dickcissel (Spiza americana),Grasslands
Prothonotary Warbler (Protonotaria citrea),Forests
Monk Parakeet (Myiopsitta monachus),Forests
Boat-tailed Grackle (Quiscalus major),Marshes
