Bird,Ratio
Northern Waterthrush (Seiurus noveboracensis),1.7342997669212132
Scarlet Tanager (Piranga olivacea),1.039661175343646
Magnolia Warbler (Dendroica magnolia),2.740531224428604
Brown Creeper (Certhia americana),2.146186008066826
Whip-poor-will (Caprimulgus vociferus),0.6067631689493871
Common Raven (Corvus corax),2.345260693346716
Sharp-shinned Hawk (Accipiter striatus),0.9408683392142386
American Black Duck (Anas rubripes),1.7924548921881425
Dark-eyed Junco (Junco hyemalis),1.916237453813005
Black-throated Green Warbler (Dendroica virens),1.923718856011025
Yellow-rumped Warbler (Dendroica coronata),2.1212143043242784
Nashville Warbler (Vermivora ruficapilla),3.3621238382874052
Pileated Woodpecker (Dryocopus pileatus),1.250929707586505
Yellow-throated Vireo (Vireo flavifrons),0.5504535717510322
Black-and-white Warbler (Mniotilta varia),1.5632400169730138
Blue-winged Warbler (Vermivora pinus),0.31981195224688486
Red-bellied Woodpecker (Melanerpes carolinus),0.23561377593112978
Least Bittern (Ixobrychus exilis),0.7818330783278064
Tufted Titmouse (Baeolophus bicolor),0.3882050213264341
Vesper Sparrow (Pooecetes gramineus),0.30859462694295203
Orchard Oriole (Icterus spurius),0.17488642096237444
Pine Siskin (Carduelis pinus),3.441738304458659
Green-winged Teal (Anas crecca),0.791847657100277
Hermit Thrush (Catharus guttatus),2.2545375676979664
Grasshopper Sparrow (Ammodramus savannarum),0.3326502829698207
Pine Warbler (Dendroica pinus),1.2566903426791052
Common Tern (Sterna hirundo),0.16807449084829224
Prairie Warbler (Dendroica discolor),0.38113616366635555
Sedge Wren (Cistothorus platensis),0.593348284820164
Hooded Merganser (Lophodytes cucullatus),2.1503081125403107
Barred Owl (Strix varia),2.030974342774637
Blue-headed Vireo (Vireo solitarius),2.2516521666469314
Brewster's Warbler (Vermivora pinus x V. chrysoptera),0.2541986371768005
Golden-winged Warbler (Vermivora chrysoptera),0.3986263312940923
American Coot (Fulica americana),0.7214127976952043
Broad-winged Hawk (Buteo platypterus),1.9818849232007616
Mourning Warbler (Oporornis philadelphia),1.285072428124201
Bald Eagle (Haliaeetus leucocephalus),1.5712558109875105
Osprey (Pandion haliaetus),1.666437390004021
Trumpeter Swan (Cygnus buccinator),1.1087940924846775
Northern Goshawk (Accipiter gentilis),2.064008733132876
Henslow's Sparrow (Ammodramus henslowii),0.33332798343764947
Black-throated Blue Warbler (Dendroica caerulescens),3.2617299603017886
Evening Grosbeak (Coccothraustes vespertinus),3.7696456528844466
Red-shouldered Hawk (Buteo lineatus),1.2836648627366838
Blackburnian Warbler (Dendroica fusca),2.932677464193809
